Регион,Индекс цен на вторичном рынке для всех типов квартир за I квартал,Индекс цен на вторичном рынке для низкого качества за I квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за I квартал,Индекс цен на вторичном рынке для улучшенного качества за I квартал,Индекс цен на вторичном рынке для элитного качества за I квартал,Индекс цен на вторичном рынке для всех типов квартир за II квартал,Индекс цен на вторичном рынке для низкого качества за II квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за II квартал,Индекс цен на вторичном рынке для улучшенного качества за II квартал,Индекс цен на вторичном рынке для элитного качества за II квартал,Индекс цен на вторичном рынке для всех типов квартир за IV квартал,Индекс цен на вторичном рынке для низкого качества за IV квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на вторичном рынке для улучшенного качества за IV квартал,Индекс цен на вторичном рынке для элитного качества за IV квартал,Индекс цен на вторичном рынке для всех типов квартир за период с начала года,Индекс цен на вторичном рынке для низкого качества за период с начала года,Индекс цен на вторичном рынке для среднего качества (типовые) за период с начала года,Индекс цен на вторичном рынке для улучшенного качества за период с начала года,Индекс цен на вторичном рынке для элитного качества за период с начала года
Астраханская область,103.4,102.37,104.5,100,100,111.65,102.37,115.38,102.21,100,109.64,102.37,112.53,102.37,100.51,106.52,102.37,108.01,103.47,100.51
Волгоградская область,107.95,111.07,104.35,110.16,109.98,111.24,113.18,106.48,114.74,113.13,112.57,116.19,108.15,115.35,114.99,114.63,115.81,109.25,118.48,117.86
Ростовская область,106.71,105.22,108.64,105.54,101.63,112.67,101.42,114.11,112.91,114.17,114.8,101.74,115.54,115.87,116.62,116.07,105.19,117.12,116.59,117.61
Город федерального значения Севастополь,101.69,,102.31,100,,103.22,,104.41,100,,101.73,,102.38,100,,101.43,,101.96,100,
Северо-Кавказский федеральный округ,103.09,114.65,102.92,103.98,100.26,104.49,114.65,104.36,105.85,100.26,105.14,114.47,105.4,106.82,97.22,106.99,114.47,108.27,106.99,97.01
Республика Дагестан,100.05,100,100.1,100,,101.98,100,103.61,100.2,,108.5,100,108.18,109.01,,112.71,100,115.05,110.32,
Республика Ингушетия,103.01,,102.67,104.42,,105.29,,105.47,104.53,,99.36,,99.65,98.17,,101.1,,101.51,99.36,
Кабардино-Балкарская Республика,110.56,200,108.27,114.13,103.86,113.48,200,112.45,114.13,103.86,125.47,198,131.32,101.9,108.88,114.85,198,116.77,101.48,105.74
Карачаево-Черкесская Республика,105.76,100,108.83,100,,104.52,100,106.93,100,,111.34,100,117.39,100,,108.71,100,113.36,100,
Республика Северная Осетия-Алания,101.72,100,101.94,102.96,100,104.91,100,105.8,107,100,106.56,100,108.16,107,100,109.75,100,112.64,107.69,100
Чеченская Республика,101.73,,101.31,103.71,100,102.51,,102.5,103.71,100,101.8,,102.03,103.71,96.32,104.36,,105.91,103.71,96.32
Ставропольский край,112.81,120.31,120.79,105.82,,117.76,120.31,120.34,115.49,,120.6,120.31,123.49,118.25,,121.14,120.31,124.41,118.5,
Приволжский федеральный округ,108.51,107.83,108.2,109.64,102.57,112.03,112.39,111.08,113.87,105.96,114.82,109.8,114.62,116.09,113.28,117.96,108.2,118.62,118.61,118.32
Республика Башкортостан,104.22,101.32,103.63,105.53,100,109.72,102.91,109.43,110.88,106.04,113.23,105.95,112.08,115.91,106.46,115.85,105.58,114.54,119.12,106.46
Республика Марий Эл,112.65,,111.08,113.58,,116.94,,114.41,118.44,,123.05,,119.65,125.05,,124.23,,120.9,126.21,
Республика Мордовия,121.14,112.81,122.24,121.72,,119.64,107.69,116.84,124.26,,121.86,105.92,118.22,127.93,,125.07,102.69,127.52,127.05,
Республика Татарстан (Татарстан),106.35,106.57,103.42,111.03,97,111.11,104.76,106.44,118.43,104.23,113.77,107.98,111.07,118.09,109.79,119.97,103.99,120.56,120.45,106.58
Удмуртская Республика,107.78,106.9,108.13,107.92,,109.32,118.01,108.73,106.31,,111.22,107.82,112.84,111.55,,111.98,103.33,113,114.71,
Чувашская Республика - Чувашия,107.98,,108.03,107.92,,106.75,,106.67,106.84,,114.3,,114.86,113.57,,130.31,,132.47,127.54,
Пермский край,109.72,100,110.11,102.74,100,113.55,100,114.13,102.45,100,110.62,104.5,110.95,103.11,105.3,111.43,104.5,111.74,105.01,105.3
Кировская область,106.01,100.36,106.82,106.86,100,106.14,94.16,106.3,108.42,100,108.7,95.71,106.3,112.71,100,116.4,95.87,108.83,124.96,100.48
Нижегородская область,109.13,111.11,109,108.46,111.22,111.7,118.74,109.74,111.13,107.94,114.91,114.53,114.32,115.71,111.29,114.27,113.56,115.21,113.83,110.13
Оренбургская область,101.35,99.14,99.85,104.69,96.82,105.56,100.73,102.35,112.15,99.25,107.22,101.84,106.17,112.02,100.54,110.65,101.84,106.2,120.18,105.29
Пензенская область,109.92,,109.91,109.95,,113.19,,114.56,109.95,,113.76,,115.37,109.95,,118.99,,120.82,114.65,
Самарская область,107.74,102.77,108.81,104.69,113.5,109.9,102.77,111.36,106.71,113.55,110.87,102.77,112.78,107.14,113.55,110.11,102.77,111.35,107.21,114.08
Саратовская область,121.61,129.78,125.1,132.98,101.67,125.21,109.44,127.97,141.31,106.16,130.0,132.03,133.58,129.76,118.02,132.0,132.03,133.17,130.91,128.79
Ульяновская область,104.15,100.83,102.51,107.15,,110.41,102.33,111.09,110.46,,116.63,108.07,118.44,115.01,,116.3,108.49,117.55,115.45,
Уральский федеральный округ,107.08,108.84,106.88,106.79,111.27,111.09,111.91,110.79,111.64,111.12,112.57,111.15,111.01,115.33,118.25,112.73,114.04,110.55,116.22,120.97
Курганская область,107.87,,107.79,109.32,,116.55,,116.8,111.63,,113.98,,114,113.59,,114.84,,114.82,115.4,
Свердловская область,107.24,109.12,108.87,105.05,106.93,112.13,113.07,114.43,110.01,102.5,113.37,111.88,112.83,114.1,114.42,113.35,114.93,111.39,115.14,118.96
Тюменская область,102.92,108.04,102.33,105.66,,101.02,108.5,100.09,105.54,,105.5,109,105.16,106.95,,105.77,111.43,105.43,106.51,
Ханты-Мансийский автономный округ - Югра (Тюменская область),103.45,109.28,102.77,106.39,,102.43,109.28,101.73,105.16,,105.42,109.53,104.98,107.25,,106.39,111.02,106.05,107.35,
Ямало-Ненецкий автономный округ (Тюменская область),101.22,103.82,101.02,102.83,,96.13,107.98,94.7,109.38,,107.35,107.98,107.57,104.67,,105.56,118.83,105.53,102.38,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),100.73,100,100,103.14,,97.19,100,94.97,103.14,,98.5,104.33,94.97,107.61,,94.9,104.33,90.77,104.86,
Челябинская область,127.46,,117.96,155.49,117.73,138.4,,129.82,172.69,123.96,137.97,,128.55,172.69,123.96,138.61,,130.43,172.69,123.96
Сибирский федеральный округ,110.53,107.47,111.72,109.38,108.84,113.45,109.53,114.46,112.64,110.86,115.16,110.24,116.22,113.91,118.42,117.97,116.51,119.42,115.7,125.32
Республика Алтай,104.63,,104.63,,,115.27,,115.27,,,125.76,,125.76,,,126.11,,126.11,,
Республика Тыва,101.12,100.41,101.01,101.4,100,100.85,100.41,100.33,101.4,100,104.84,100.41,102.61,107.63,100,110.11,100.41,108.61,113.47,100
Республика Хакасия,113.84,,102.32,115.28,,113.63,,102.52,115.02,,120.09,,103.15,122.22,,119.74,,103.6,121.76,
Алтайский край,114.79,109.2,117.27,106.79,115.91,119.01,108.91,119.85,119.8,115.91,113.69,108.91,112.43,116.16,119.32,118.3,115.52,116.01,118.65,134.09
Красноярский край,103.91,102.97,104.53,103.09,108.94,106.03,102.38,107.71,104.28,110.41,109.5,100.78,110.45,108.98,112.24,113.51,103.08,116.11,111.25,117.92
Иркутская область,104.01,100,104.21,103.62,100,105.78,100,106.39,104.27,100,106.53,100,107.67,103.44,100,106.82,100,107.42,105.4,100
Кемеровская область - Кузбасс,131.96,117.87,129.39,139.31,107.74,136.97,122.95,135.32,143.1,111.54,135.14,115.48,133.88,140.81,115.84,143.77,122.04,142.82,149.61,119.76
Новосибирская область,105.96,100,110.27,99.78,100,108.11,100,110.41,104.85,100,111.2,109,116.21,103.97,110,113.18,109,120,103.35,110
Омская область,107.08,105.9,108.06,106.31,104.39,110.44,107.93,111.24,109.9,109.41,118.96,115.22,117.56,119.95,128.73,123.16,126.9,120.88,124.5,130.49
Томская область,105.42,101.57,106.44,105.17,100.68,107.58,104.29,107.88,107.74,100.68,108.02,104.64,110.63,106.96,100.68,107.24,104.84,108.41,106.89,100.68
Дальневосточный федеральный округ,103.92,97.07,103.64,105.79,99.94,103.21,104.46,102.82,104.06,99.86,104.02,99.72,103.84,105.19,101.69,106.28,106.17,105.52,108.2,101.25
Республика Бурятия,103.85,100,102.5,105.91,,105.11,119.01,103.66,106.32,,107.95,119.01,106.11,109.83,,110.1,128.84,107.62,112.44,
Республика Саха (Якутия),100.34,90.6,100.5,97.85,,100.4,90.6,100.56,97.85,,100.45,90.6,100.61,97.94,,112.26,90.6,113.1,96.9,
